date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:05	32096/32096	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jun%202021%2013:31:01%20GMT	https://lmpixels.com/wp/leven-wp/full-width-dark/	C:/My%20Web%20Sites/Web%20Netlify/lmpixels.com/wp/leven-wp/full-width-dark/index.html	(from )
20:31:06	420/420	---MC-	302	error ('Found')	text/html	date:Mon,%2007%20Jun%202021%2013:31:02%20GMT	https://lmpixels.com/robots.txt		(from )
20:31:07	37293/37293	---MCZ	200	added ('OK')	application/rss+xml	etag:%22dcf7a33947891657d7dc46705b3824cc%22	https://lmpixels.com/wp/leven-wp/full-width-dark/feed/	C:/My%20Web%20Sites/Web%20Netlify/lmpixels.com/wp/leven-wp/full-width-dark/feed/index.html	(from https://lmpixels.com/wp/leven-wp/full-width-dark/)
20:31:07	187892/187892	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2010%20Feb%202021%2008:06:36%20GMT	https://lmpixels.com/wp/leven-wp/full-width-dark/wp-content/mmr/6bac242c-1607732580.min.js	C:/My%20Web%20Sites/Web%20Netlify/lmpixels.com/wp/leven-wp/full-width-dark/wp-content/mmr/6bac242c-1607732580.min.js	(from https://lmpixels.com/wp/leven-wp/full-width-dark/)
20:31:07	696054/696054	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20Apr%202021%2010:21:11%20GMT	https://lmpixels.com/wp/leven-wp/full-width-dark/wp-content/mmr/547ef784-1619086408.min.css	C:/My%20Web%20Sites/Web%20Netlify/lmpixels.com/wp/leven-wp/full-width-dark/wp-content/mmr/547ef784-1619086408.min.css	(from https://lmpixels.com/wp/leven-wp/full-width-dark/)
20:31:08	1755/1755	---MCZ	200	added ('OK')	application/rss+xml	etag:%22a8a06b354a391576d37ed6ddb758c59e%22	https://lmpixels.com/wp/leven-wp/full-width-dark/comments/feed/	C:/My%20Web%20Sites/Web%20Netlify/lmpixels.com/wp/leven-wp/full-width-dark/comments/feed/index.html	(from https://lmpixels.com/wp/leven-wp/full-width-dark/)
20:31:08	17533/17533	---MCZ	200	added ('OK')	application/json	date:Mon,%2007%20Jun%202021%2013:31:04%20GMT	https://lmpixels.com/wp/leven-wp/full-width-dark/wp-json/wp/v2/pages/157	C:/My%20Web%20Sites/Web%20Netlify/lmpixels.com/wp/leven-wp/full-width-dark/wp-json/wp/v2/pages/157.json	(from https://lmpixels.com/wp/leven-wp/full-width-dark/)
20:31:08	120003/120003	---MCZ	200	added ('OK')	application/json	date:Mon,%2007%20Jun%202021%2013:31:04%20GMT	https://lmpixels.com/wp/leven-wp/full-width-dark/wp-json/	C:/My%20Web%20Sites/Web%20Netlify/lmpixels.com/wp/leven-wp/full-width-dark/wp-json/index.html	(from https://lmpixels.com/wp/leven-wp/full-width-dark/)
20:31:08	954/954	---MCZ	200	added ('OK')	text/xml	date:Mon,%2007%20Jun%202021%2013:31:05%20GMT	https://lmpixels.com/wp/leven-wp/full-width-dark/xmlrpc.php?rsd	C:/My%20Web%20Sites/Web%20Netlify/lmpixels.com/wp/leven-wp/full-width-dark/xmlrpc0db0.php	(from https://lmpixels.com/wp/leven-wp/full-width-dark/)
20:31:08	1045/1045	---MCZ	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	https://lmpixels.com/wp/leven-wp/full-width-dark/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Web%20Netlify/lmpixels.com/wp/leven-wp/full-width-dark/wp-includes/wlwmanifest.xml	(from https://lmpixels.com/wp/leven-wp/full-width-dark/)
